No,StarYear,"PlotCode",Name,Province,Amphoe,Tambon,Type,Lat,Lon,GMap,Tag_Count,SP_Count,Shanon,Biomass
163,2023,N57-01-M01,วัดพระธาตุดอยเขาควายแก้ว,เชียงราย,เมืองเชียงราย,รอบเวียง,M,19.88193,99.8122,"https://www.google.com/maps?t=k&q=19.881934,99.812199",48,20,2.53,"18,262.46"
164,2023,N57-01-M02,วัดดอยพระบาท,เชียงราย,เมืองเชียงราย,รอบเวียง,M,19.88519,99.82495,"https://www.google.com/maps?t=k&q=19.885189,99.824946",42,18,2.56,"37,185.18"
165,2023,N57-01-M04,หอวัฒนธรรมนิทัศน์เฉลิมพระเกียรติ,เชียงราย,เมืองเชียงราย,ริมกก,M,19.92647,99.85356,"https://www.google.com/maps?t=k&q=19.926474,99.853564",54,23,2.71,"34,363.51"
166,2023,N57-01-P01,สวนสาธารณะหนองปึ๋งเชียงราย,เชียงราย,เมืองเชียงราย,รอบเวียง,P,19.88508,99.80594,"https://www.google.com/maps?t=k&q=19.885078,99.805941",40,5,1.21,"8,542.29"
167,2023,N57-01-P02,สวนสาธารณะเกาะลอย,เชียงราย,เมืองเชียงราย,ริมกก,P,19.91848,99.8383,"https://www.google.com/maps?t=k&q=19.918481,99.838296",22,10,2.23,"17,648.30"
168,2023,N57-01-S01,ศาลากลางจังหวัดเชียงราย,เชียงราย,เมืองเชียงราย,ริมกก,S,19.92045,99.81598,"https://www.google.com/maps?t=k&q=19.92045,99.81598",27,6,1.43,"20,682.41"
169,2023,N57-01-S02,สวนสาธารณะหนองปึ๋งเชียงราย,เชียงราย,เมืองเชียงราย,รอบเวียง,S,19.88503,99.80495,"https://www.google.com/maps?t=k&q=19.885033,99.804951",58,9,1.78,"7,697.83"
170,2025,N58-25-M01,สถานีพัฒนาที่ดินแม่ฮ่องสอน,แม่ฮ่องสอน,เมืองแม่ฮ่องสอน,ปางหมู,M,19.32556,97.96806,"https://www.google.com/maps?t=k&q=19.325556,97.968056",181,34,2.96,"34,497.16"
171,2025,N58-25-P01,สถานที่พักผ่อนหย่อนใจฉลองราชย์ 50 ปี,แม่ฮ่องสอน,ขุนยวม,ขุนยวม,P,18.83093,97.93482,"https://www.google.com/maps?t=k&q=18.83093,97.93482",20,5,1.31,"1,833.83"
172,2025,S80-25-P01,สวนสมเด็จพระศรีนครินทร์ 84,นครศรีธรรมราช,เมืองนครศรีธรรมราช,นาเคียน,P,8.45379,99.95193,"https://www.google.com/maps?t=k&q=8.45379,99.95193",23,10,1.92,"9,066.13"
173,2025,S80-25-S01,สวนสาธารณะเฉลิมพระเกียรติ ร.9,นครศรีธรรมราช,เมืองนครศรีธรรมราช,โพธิ์เสด็จ,S,8.4136,99.95993,"https://www.google.com/maps?t=k&q=8.4136,99.95993",68,17,2.31,"16,015.79"
174,2025,S81-25-M01,องค์การบริหารส่วนจังหวัดกระบี่,กระบี่,เมืองกระบี่,ไสไทย,M,8.04746,98.9074,"https://www.google.com/maps?t=k&q=8.04746,98.9074",253,11,1.40,"15,367.78"
175,2025,S81-25-P01,สวนสาธารณะธารา กระบี่,กระบี่,เมืองกระบี่,ปากน้ำ,P,8.05218,98.91925,"https://www.google.com/maps?t=k&q=8.05218,98.91925",16,3,0.60,"121,711.95"
